id1,id2,weight
e-mail,correio,1
coeficiente,unidade,1
zombaria,ação,1
ciclóstomos,gênero,1
filologia,estudo,1
náusea,ânsia,1
banhado,brejo,1
espadana,jato,1
ideograma,gesto,1
zodíaco,zona,1
grânulo,moça,1
confessionário,cadeira,1
manivela,cabo,1
contribuição,divisão,1
doação,divisão,1
recosto,espaço,1
descoberta,terra,1
virose,vício,1
filo,letra,1
cocada,bordoada,1
insuficiência,determinação,1
satisfação,ação,1
ação,conveniência,1
papelão,feita,1
guaraná,bebida,1
quilômetro,unidade,1
internato,estabelecimento,1
otimismo,lado,1
cirurgia,lado,1
comilança,título,1
debian,debian,1
cinzeladura,juízo,1
escola,estabelecimento,1
fantasia,trabalho,1
maioral,cabeça,1
escudo,escudo,1
étimo,vocábulo,1
respeito,reverência,1
muxiba,membrana,1
rapaziada,ação,1
conduto,caminho,1
desvalia,omissão,1
invólucro,guarnição,1
mendicância,vida,1
apatia,indiferença,1
dissolução,argumento,1
côder,parte,1
capilaridade,elevação,1
altitude,elevação,1
entrega,divisão,1
modificação,argumento,1
moqueca,guisado,1
coreografia,arte,1
alento,ação,1
brânquia,instrumento,1
kit,serviço,1
cincerro,sineta,1
cureta,instrumento,1
vaquejada,peixe,1
fuselagem,corpo,1
monarquia,condição,1
revelia,condição,1
fumante,haste,1
artilheiro,jogo,1
entranhas,víscera,1
juro,dinheiro,1
boqueirão,cavidade,1
grandiloqüência,estilo,1
desculpa,força,1
culpabilidade,coisa,1
bênção,título,1
esperanto,órgão,1
palavrão,palavra,1
neto,relação,1
ocultismo,trabalho,1
ferida,ferida,1
extração,juízo,1
fórmula,ato,1
itinerário,ato,1
orçamento,cálculo,1
afeição,amor,1
camisaria,estabelecimento,1
desova,juízo,1
refrigério,felicidade,1
filiação,serviço,1
comedouro,gaiola,1
gelo,água,1
canseira,cansaço,1
esplenite,ação,1
decorrência,ação,1
idolatria,adoração,1
convivência,atividade,1
desespero,modo,1
casal,moça,1
ruptura,título,1
globalização,ação,1
caldo,caso,1
estampilha,figura,1
crisálida,estado,1
outeiro,terra,1
rachadura,força,1
indexação,argumento,1
área,espaço,1
jejuno,intestino,1
brâmane,parte,1
lúpulo,família,1
adriça,cabo,1
iluminação,atividade,1
mitologia,aplicação,1
bruxo,indivíduo,1
grão,globo,1
interrogação,atividade,1
invasão,bilhete,1
bruaca,bolsa,1
vacinação,força,1
imitação,exibição,1
vice-presidente,falta,1
defasagem,divergência,1
ultimato,resolução,1
micado,denominação,1
aviação,arte,1
centro,redor,1
mirra,certeza,1
convite,ato,1
rapé,tabaco,1
ginásio,espaço,1
eucaristia,vogal,1
candelária,vogal,1
adestramento,ato,1
paleologia,estudo,1
gavinha,parte,1
membro,lado,1
pacto,ajuste,1
galopada,carreira,1
almofada,saco,1
atadura,ação,1
cheiro,olfato,1
sacristão,marido,1
faculdade,capacidade,1
rendimento,título,1
canídeos,família,1
termostato,caso,1
trânsito,ação,1
represália,desforra,1
rinoceronte,reunião,1
correção,juízo,1
retouça,cabo,1
míngua,carência,1
gestão,ato,1
cifrão,marca,1
cortesã,homem,1
teto,cobertura,1
nacionalismo,amor,1
fatia,fragmento,1
aperfeiçoamento,ação,1
garfo,alimento,1
cinema,sala,1
gorgomilos,canal,1
tolice,qualidade,1
reputação,ação,1
u,caracteres,1
parábola,ato,1
infantilidade,objeto,1
orla,costado,1
concurso,juízo,1
mandriva,sistema,1
discurso,ato,1
atração,energia,1
cata,busca,1
equimose,mancha,1
bandeirante,abreviatura,1
circunscrição,ato,1
palavrão,conversa,1
julgamento,resolução,1
farsante,brincalhão,1
centeio,sangue,1
naupatia,ânsia,1
energia,força,1
guincho,berro,1
alpinismo,critério,1
jurisprudência,ciência,1
grua,mulher,1
obsolescência,maneira,1
firma,assinatura,1
lixa,feita,1
mastigação,ação,1
maldição,título,1
marcenaria,arte,1
pacifismo,combinação,1
álgebra,seção,1
ventrilavado,homem,1
alopecia,queda,1
grama,unidade,1
jardineiro,relação,1
trigonometria,parte,1
cassino,jogo,1
agrotóxico,ato,1
lodo,pátria,1
cobra,terra,1
seringa,recheio,1
assinatura,ação,1
anteprojeto,esboço,1
pelagem,cabelo,1
rótula,corpo,1
acondicionamento,ato,1
bispo,peça,1
tetéia,bibelô,1
calha,rego,1
quilate,ouro,1
insolência,omissão,1
luz,clarão,1
virtude,vogal,1
autoria,ouro,1
bonificação,dinheiro,1
barraca,tenda,1
liquidação,ato,1
falsificação,divisão,1
espinha,osso,1
etiqueta,norma,1
conselho,órgão,1
vida,maneira,1
arquidiocese,circunscrição,1
reino,situação,1
hóstia,partícula,1
coação,título,1
discernimento,juízo,1
encalço,atividade,1
grinalda,capela,1
glândula,distribuição,1
narcisismo,afeto,1
debandada,juízo,1
clima,ar,1
escápula,título,1
trampolim,impulso,1
balido,grito,1
gene,partícula,1
inventário,relação,1
galgo,cão,1
intenção,desígnio,1
hidra,constelação,1
exemplo,figura,1
gafa,sarna,1
palpitação,força,1
fuça,focinho,1
gafanhoto,nome,1
descida,força,1
