id1,id2,weight
a,vogal,1
a,caso,1
a,e,1
aba,saliência,1
aba,rebordo,1
abá,manto,1
abacate,fruto,1
abacateiro,árvore,1
abacaxi,fruto,1
ábaco,quadro,1
ábaco,parte,1
abade,ordem,1
abade,vida,1
abadessa,forma,1
abadia,convento,1
abaetê,homem,1
abaixo-assinado,escrito,1
abajur,utensílio,1
abalada,fuga,1
abalo,tremor,1
abandono,desamparo,1
abandono,renúncia,1
abatedouro,lugar,1
abatimento,fraqueza,1
abatimento,depressão,1
abatimento,matança,1
abdução,afastamento,1
abelha,inseto,1
aberração,anomalia,1
abertura,ato,1
abertura,fenda,1
abertura,franqueza,1
abeto,variedade,1
abnegação,renúncia,1
abnegação,dedicação,1
abóbada,teto,1
abolição,ato,1
abolicionismo,doutrina,1
abono,fiança,1
abono,dinheiro,1
aborrecimento,ato,1
aborto,ato,1
abraçadeira,peça,1
abraço,ato,1
abraço,sinal,1
abrasão,raspagem,1
abrasão,desgaste,1
abreugrafia,método,1
abreviatura,representação,1
abrigo,agasalho,1
abril,mês,1
abscesso,cavidade,1
abside,recinto,1
absinto,certa,1
absinto,bebida,1
absolutismo,sistema,1
absolutista,adepto,1
abstinência,jejum,1
abstração,espírito,1
abstração,separação,1
abutre,ave,1
aca,cheiro,1
acácia,árvore,1
açacu,árvore,1
academia,estabelecimento,1
academia,escola,1
academia,universidade,1
academia,congresso,1
açafrão,família,1
açaí,fruto,1
acaju,nome,1
acaju,designação,1
acampamento,lugar,1
ação,força,1
ação,atividade,1
ação,argumento,1
ação,juízo,1
ação,título,1
ação,ato,1
acarajé,iguaria,1
acareação,ato,1
ácaro,nome,1
acasalamento,ação,1
acaso,casualidade,1
acaso,sorte,1
acefalia,ausência,1
aceitação,aprovação,1
aceleração,ação,1
aceno,gesto,1
acento,sílaba,1
acento,sinal,1
acentuação,ação,1
acervo,biblioteca,1
acesso,entrada,1
acetábulo,concavidade,1
acetábulo,vaso,1
acetato,sal,1
acetileno,gás,1
acha,pedaço,1
achádego,recompensa,1
achado,pechincha,1
acidente,coisa,1
acidente,desigualdade,1
ácido,forma,1
acionista,dona,1
aclamação,clamor,1
aclamação,ato,1
aclive,ladeira,1
aço,liga,1
açoite,látego,1
acolhida,recepção,1
acolhimento,recepção,1
acompanhamento,ação,1
acompanhamento,parte,1
acondicionamento,ação,1
acontecimento,acaso,1
acordeão,instrumento,1
acordo,entendimento,1
açougueiro,dono,1
acrobacia,arte,1
acrobata,dançarino,1
acrofobia,medo,1
acrópole,cidadela,1
acróstico,composição,1
actínia,designação,1
açúcar,cana-de-açúcar,1
acuidade,agudeza,1
acúleo,espinho,1
acúleo,ferrão,1
acupuntura,técnica,1
acusação,ação,1
acusação,advogado,1
acusativo,complemento,1
acústica,ramo,1
adaga,espada,1
adágio,rifão,1
adaptação,ação,1
adega,lugar,1
adendo,obra,1
adereço,adorno,1
adesão,aprovação,1
adestramento,treino,1
adição,operação,1
adição,aumento,1
adido,funcionário,1
adivinhação,ação,1
adivinhador,futuro,1
adjetivo,palavra,1
administração,direção,1
administração,governo,1
administração,gerência,1
administração,ato,1
admiração,ato,1
adoção,ato,1
adolescência,idade,1
adoração,a,1
adrenalina,hormônio,1
adriça,cabo,1
adro,pátio,1
aduaneiro,funcionário,1
