id1,id2,weight
desgoverno,emprego,1
violência,raciocínio,1
regência,nova,1
sedição,denominação,1
vagido,arte,1
carboneto,combinação,1
farmacopéia,coleção,1
bigamia,uso,1
passa,ato,1
reminiscência,recordação,1
minarete,força,1
vivência,caráter,1
disjunção,estrada,1
asno,caracteres,1
meridiana,caso,1
loucura,divisão,1
durame,cerne,1
gramática,operação,1
zodíaco,corpo,1
curau,feitio,1
carceragem,força,1
grife,regra,1
colênquima,gênero,1
ave-maria,ato,1
obra,vigor,1
modelo,feitio,1
paxá,ação,1
risota,argumento,1
intercessão,título,1
base,vogal,1
capacho,caso,1
inanição,qualidade,1
anta,ato,1
tina,flexão,1
parto,operação,1
condado,dignidade,1
náufrago,natureza,1
xará,relação,1
critério,designação,1
câncer,designação,1
cursor,lado,1
delegado,origem,1
gogó,cartilagem,1
debacle,título,1
antropomorfização,letra,1
governanta,atividade,1
bióxido,nome,1
editoria,argumento,1
brio,idéia,1
adestramento,ato,1
secretariado,reunião,1
dubiedade,erro,1
passadeira,larga,1
búfalo,diversidade,1
infiltração,operação,1
revés,ato,1
recalque,ação,1
feticídio,causa,1
conduta,denominação,1
bacalhoada,juízo,1
sistema,faculdade,1
agulheiro,estojo,1
mordacidade,caso,1
albinismo,ação,1
razão,valor,1
míngua,estrada,1
leiva,trabalho,1
insensibilidade,ausência,1
requinte,juízo,1
catilinária,ação,1
deserção,designação,1
entoação,operação,1
curau,força,1
rejeição,nome,1
especulação,distribuição,1
chantagem,juízo,1
lenimento,força,1
tamis,círculo,1
papeleta,edifício,1
metralha,título,1
deposição,energia,1
camoniana,raciocínio,1
nuança,nome,1
mexerico,raciocínio,1
cadarço,gesto,1
n,vogal,1
escaldura,ato,1
entoação,nome,1
carroça,meio,1
cócegas,divisão,1
arroto,expansão,1
intuição,ato,1
pelourinho,divisão,1
canalização,denominação,1
arcipreste,inteligência,1
magistério,função,1
lombada,bico,1
coloração,raciocínio,1
catana,tira,1
musculação,título,1
amargor,juízo,1
antevéspera,estado,1
escudo,dinheiro,1
salseiro,embate,1
caramujo,sensibilidade,1
colono,colônia,1
lima2,órgão,1
distanasia,extinção,1
afeto,sentimento,1
fava,resultado,1
varredura,repartição,1
cultura,divisão,1
aquarista,título,1
anfibologia,título,1
abside,medida,1
maquinaria,ação,1
verve,vontade,1
litígio,questão,1
focinho,parte,1
panteísmo,maneira,1
ulite,título,1
patela,grade,1
estampa,lado,1
liberação,título,1
desacordo,ausência,1
figo,órgão,1
aspersão,denominação,1
xaropada,xarope,1
resumo,divisão,1
degeneração,operação,1
ciscada,carvão,1
lâmpada,objeto,1
cigarreira,cigarro,1
lesão,nome,1
colosso,rosto,1
índio,relação,1
credo,argumento,1
epitalâmio,lugar,1
arco-íris,parte,1
crença,energia,1
conchavo,força,1
fulano,conveniência,1
contorno,seguimento,1
exumação,operação,1
indisciplina,omissão,1
captura,ato,1
artigo,termo,1
culpa,infração,1
zumbido,ruído,1
vocábulo,ato,1
âmbito,divisão,1
libelo,negócio,1
oração,juízo,1
esculápio,vogal,1
cancha,argumento,1
jagunço,mata,1
delito,culpa,1
rodapé,parte,1
oligarquia,energia,1
tártaro,feição,1
redil,curral,1
tafetá,pano,1
talho,entrega,1
necrologia,ação,1
recusa,raciocínio,1
bíduo,espaço,1
faia,madeira,1
esgoto,tubo,1
tigela,vaso,1
gráfica,vogal,1
choca,mulher,1
cruzeiro,juízo,1
capitania,operação,1
rapsódia,vogal,1
terremoto,juízo,1
cominho,ato,1
venera,emblema,1
anotação,repartição,1
ator,abreviatura,1
destroço,argumento,1
escota,cauda,1
ignorância,falta,1
castração,designação,1
almofadinha,natureza,1
demônio,caso,1
arbitrariedade,injustiça,1
intimação,operação,1
relha,designação,1
espectador,energia,1
rastrilho,armação,1
relíquia,objeto,1
nefrologia,lado,1
compaixão,indício,1
rangido,designação,1
gravura,argumento,1
tráfego,comércio,1
jeira,cálculo,1
caiçara,homem,1
légua,título,1
auto-de-fé,expressão,1
cristo,rosto,1
moqueca,iguaria,1
declamação,raciocínio,1
rejeição,distribuição,1
interjeição,parte,1
mana,modo,1
relação,natureza,1
erro,caminho,1
mito,invenção,1
louvor,distribuição,1
intérprete,abreviatura,1
serralheiro,ocupação,1
arrancada1,ato,1
vagido,composição,1
tirania,energia,1
tortura,tormento,1
impigem,maneira,1
eira,lajeado,1
jogatina,falta,1
anorexia,atividade,1
menta,juízo,1
sindicalismo,divisão,1
fantasia,obra,1
esconderijo,argumento,1
rolamento,lado,1
goiabeira,ato,1
fenótipo,aparência,1
macuta,objeto,1
hiato,distribuição,1
greta,juízo,1
bobina,linha,1
escola,juízo,1
varejo,divisão,1
convite,juízo,1
fundação,vigor,1
femicídio,vigor,1
patacoada,narração,1
informação,observação,1
